id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
188,1,25.0,Masculin,Avant gauche,Blessé léger,Conducteur
189,1,55.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
190,1,34.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
191,1,57.0,Masculin,Avant droit,Indemne,Passager
192,1,21.0,Féminin,Avant droit,Indemne,Passager
193,1,46.0,Masculin,Avant gauche,Blessé léger,Conducteur
194,1,40.0,Masculin,Avant droit,Blessé léger,Passager
195,1,57.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
196,1,53.0,Féminin,Avant droit,Indemne,Passager
197,1,25.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
198,1,48.0,Féminin,Avant gauche,Blessé léger,Conducteur
199,1,77.0,Masculin,Avant gauche,Indemne,Conducteur
200,1,45.0,Masculin,Avant gauche,Blessé léger,Conducteur
201,1,73.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
202,1,66.0,Féminin,Avant droit,Blessé hospitalisé,Passager
203,1,7.0,Féminin,Arrière centre,Blessé hospitalisé,Passager
204,1,65.0,Masculin,Avant gauche,Tué,Conducteur
205,1,48.0,Masculin,Avant gauche,Tué,Conducteur
206,1,32.0,Masculin,Avant gauche,Blessé léger,Conducteur
207,1,20.0,Masculin,Avant gauche,Blessé léger,Conducteur
208,1,31.0,Féminin,Avant gauche,Indemne,Conducteur
209,1,40.0,Féminin,Avant gauche,Blessé léger,Conducteur
210,1,67.0,Masculin,Avant gauche,Indemne,Conducteur
211,1,21.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
212,1,30.0,Masculin,Avant gauche,Tué,Conducteur
213,1,19.0,Masculin,Avant droit,Tué,Passager
214,1,17.0,Masculin,Arrière centre,Blessé léger,Passager
215,1,60.0,Masculin,Avant gauche,Tué,Conducteur
216,1,68.0,Féminin,Avant gauche,Indemne,Conducteur
217,1,43.0,Masculin,Avant droit,Indemne,Passager
218,1,64.0,Masculin,Avant gauche,Tué,Conducteur
219,1,63.0,Féminin,Avant gauche,Blessé léger,Conducteur
220,1,38.0,Féminin,Avant gauche,Blessé léger,Conducteur
221,1,14.0,Masculin,Avant gauche,Blessé léger,Conducteur
222,1,20.0,Féminin,Arrière gauche,Blessé léger,Passager
223,1,27.0,Féminin,Avant gauche,Blessé léger,Conducteur
224,1,39.0,Féminin,Avant gauche,Indemne,Conducteur
225,1,46.0,Masculin,Avant droit,Indemne,Passager
226,1,10.0,Masculin,Arrière gauche,Indemne,Passager
227,1,6.0,Féminin,Arrière droit,Indemne,Passager
228,1,46.0,Féminin,Avant droit,Indemne,Passager
229,1,16.0,Masculin,Avant droit,Blessé léger,Passager
230,1,65.0,Féminin,Avant gauche,Indemne,Conducteur
231,1,48.0,Féminin,Avant droit,Blessé léger,Passager
232,1,50.0,Féminin,Avant droit,Blessé léger,Passager
233,1,58.0,Masculin,Avant gauche,Indemne,Conducteur
234,1,70.0,Féminin,Avant droit,Blessé léger,Passager
235,1,29.0,Masculin,Avant gauche,Indemne,Conducteur
236,1,57.0,Masculin,Avant gauche,Indemne,Conducteur
237,1,38.0,Féminin,Avant gauche,Indemne,Conducteur
238,1,17.0,Masculin,Avant gauche,Blessé léger,Conducteur
239,1,25.0,Masculin,Arrière droit,Indemne,Passager
240,1,23.0,Féminin,Arrière gauche,Blessé hospitalisé,Passager
241,1,25.0,Féminin,Avant droit,Blessé léger,Passager
242,1,25.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
243,1,27.0,Masculin,Avant droit,Indemne,Passager
244,1,16.0,Masculin,Arrière gauche,Blessé hospitalisé,Passager
245,1,20.0,Masculin,Arrière centre,Blessé hospitalisé,Passager
246,1,19.0,Féminin,Arrière droit,Blessé hospitalisé,Passager
247,1,30.0,Féminin,Avant gauche,Blessé léger,Conducteur
248,1,43.0,Masculin,Avant gauche,Blessé léger,Conducteur
249,1,41.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
250,1,21.0,Féminin,Avant gauche,Tué,Conducteur
251,1,19.0,Féminin,Avant droit,Indemne,Passager
252,1,36.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
253,1,32.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
254,1,19.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
255,1,19.0,Féminin,Avant gauche,Blessé léger,Conducteur
256,1,20.0,Masculin,Avant gauche,Indemne,Passager
257,1,56.0,Féminin,Avant gauche,Blessé léger,Conducteur
258,1,45.0,Féminin,Avant gauche,Indemne,Conducteur
259,1,59.0,Masculin,Avant gauche,Blessé léger,Conducteur
260,1,42.0,Masculin,Avant gauche,Blessé léger,Conducteur
261,1,46.0,Féminin,Avant gauche,Indemne,Conducteur
262,1,62.0,Féminin,Avant gauche,Blessé léger,Conducteur
263,1,57.0,Féminin,Avant gauche,Indemne,Conducteur
264,1,15.0,Féminin,Unknown,Blessé léger,Piéton
265,1,35.0,Féminin,Avant gauche,Indemne,Conducteur
266,1,47.0,Masculin,Unknown,Blessé léger,Piéton
267,1,4.0,Masculin,Arrière centre,Indemne,Passager
268,1,32.0,Féminin,Arrière centre,Blessé léger,Passager
269,1,18.0,Féminin,Avant droit,Blessé léger,Passager
270,1,68.0,Masculin,Avant gauche,Blessé léger,Conducteur
271,1,65.0,Féminin,Arrière gauche,Tué,Passager
272,1,57.0,Masculin,Avant gauche,Blessé léger,Conducteur
273,1,29.0,Féminin,Avant gauche,Blessé léger,Conducteur
274,1,17.0,Masculin,Avant gauche,Tué,Conducteur
275,1,39.0,Masculin,Unknown,Blessé léger,Piéton
276,1,57.0,Féminin,Unknown,Blessé hospitalisé,Piéton
277,1,30.0,Féminin,Avant gauche,Indemne,Conducteur
278,1,25.0,Féminin,Arrière droit,Indemne,Passager
279,1,23.0,Masculin,Avant gauche,Blessé hospitalisé,Passager
280,1,10.0,Masculin,Unknown,Blessé hospitalisé,Piéton
281,1,48.0,Masculin,Unknown,Blessé hospitalisé,Piéton
282,1,20.0,Féminin,Avant droit,Blessé hospitalisé,Passager
283,1,71.0,Féminin,Avant gauche,Blessé léger,Conducteur
284,1,7.0,Masculin,Arrière droit,Blessé léger,Passager
285,1,38.0,Féminin,Avant droit,Blessé léger,Passager
286,1,17.0,Masculin,Avant droit,Blessé léger,Passager
287,1,74.0,Masculin,Avant gauche,Blessé léger,Conducteur
288,1,40.0,Masculin,Avant gauche,Indemne,Conducteur
289,1,11.0,Masculin,Avant droit,Blessé léger,Passager
290,1,58.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
291,1,1.0,Féminin,Arrière gauche,Indemne,Passager
292,1,24.0,Masculin,Avant droit,Blessé hospitalisé,Passager
293,1,62.0,Masculin,Avant gauche,Indemne,Conducteur
294,1,23.0,Féminin,Avant droit,Blessé hospitalisé,Passager
295,1,48.0,Féminin,Avant gauche,Indemne,Conducteur
296,1,52.0,Masculin,Avant droit,Blessé hospitalisé,Passager
297,1,48.0,Masculin,Avant gauche,Indemne,Conducteur
298,1,31.0,Masculin,Avant gauche,Indemne,Conducteur
299,1,51.0,Masculin,Arrière droit,Indemne,Passager
300,1,26.0,Féminin,Arrière gauche,Indemne,Passager
301,1,1.0,Féminin,Arrière centre,Indemne,Passager
302,1,51.0,Féminin,Avant droit,Blessé léger,Passager
303,1,63.0,Féminin,Avant droit,Blessé léger,Passager
304,1,59.0,Masculin,Avant gauche,Tué,Conducteur
305,1,27.0,Féminin,Avant gauche,Indemne,Conducteur
306,1,38.0,Masculin,Arrière droit,Indemne,Passager
307,1,49.0,Masculin,Avant droit,Blessé léger,Passager
308,1,90.0,Féminin,Unknown,Blessé hospitalisé,Piéton
309,1,46.0,Masculin,Avant gauche,Indemne,Conducteur
310,1,43.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
311,1,26.0,Féminin,Avant gauche,Indemne,Conducteur
312,1,47.0,Féminin,Unknown,Blessé léger,Piéton
313,1,64.0,Masculin,Avant gauche,Blessé léger,Conducteur
314,1,7.0,Féminin,Arrière gauche,Blessé léger,Passager
315,1,34.0,Masculin,Avant gauche,Tué,Conducteur
316,1,32.0,Masculin,Avant droit,Blessé léger,Passager
317,1,37.0,Masculin,Avant gauche,Tué,Conducteur
318,1,37.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
319,1,24.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
320,1,44.0,Masculin,Avant gauche,Blessé léger,Conducteur
321,1,44.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
322,1,18.0,Féminin,Avant gauche,Blessé léger,Conducteur
323,1,73.0,Féminin,Avant gauche,Blessé léger,Conducteur
324,1,4.0,Masculin,Arrière droit,Indemne,Passager
325,1,4.0,Masculin,Arrière gauche,Indemne,Passager
326,1,22.0,Masculin,Avant droit,Indemne,Passager
327,1,20.0,Masculin,Avant droit,Blessé hospitalisé,Passager
328,1,5.0,Masculin,Arrière centre,Indemne,Passager
329,1,14.0,Féminin,Avant droit,Indemne,Passager
330,1,19.0,Masculin,Avant gauche,Blessé hospitalisé,Passager
331,1,66.0,Masculin,Avant gauche,Indemne,Conducteur
332,1,15.0,Masculin,Arrière gauche,Indemne,Passager
333,1,16.0,Masculin,Arrière centre,Blessé léger,Passager
334,1,23.0,Masculin,Avant gauche,Tué,Conducteur
335,1,22.0,Féminin,Avant gauche,Indemne,Conducteur
336,1,79.0,Masculin,Unknown,Tué,Piéton
337,1,74.0,Masculin,Unknown,Blessé hospitalisé,Piéton
338,1,88.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
339,1,80.0,Féminin,Avant droit,Blessé hospitalisé,Passager
340,1,45.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
341,1,54.0,Masculin,Avant gauche,Blessé léger,Conducteur
342,1,44.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
343,1,56.0,Masculin,Avant gauche,Indemne,Conducteur
344,1,35.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
345,1,86.0,Masculin,Unknown,Tué,Piéton
346,1,74.0,Masculin,Avant gauche,Indemne,Conducteur
347,1,58.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
348,1,17.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
349,1,71.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
350,1,36.0,Masculin,Unknown,Tué,Piéton
351,1,50.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
352,1,23.0,Féminin,Avant gauche,Indemne,Conducteur
353,1,70.0,Féminin,Avant gauche,Blessé léger,Conducteur
354,1,53.0,Masculin,Avant gauche,Blessé léger,Conducteur
355,1,60.0,Féminin,Avant gauche,Blessé léger,Passager
356,1,62.0,Masculin,Unknown,Blessé hospitalisé,Piéton
357,1,20.0,Masculin,Unknown,Blessé hospitalisé,Piéton
358,1,32.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
359,1,8.0,Féminin,Arrière droit,Blessé léger,Passager
360,1,18.0,Masculin,Unknown,Blessé léger,Piéton
361,1,20.0,Féminin,Avant droit,Blessé léger,Passager
362,1,84.0,Masculin,Unknown,Tué,Piéton
363,1,18.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
364,1,36.0,Féminin,Avant gauche,Blessé léger,Conducteur
365,1,51.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
366,1,56.0,Masculin,Avant droit,Indemne,Passager
367,1,70.0,Masculin,Avant gauche,Tué,Conducteur
368,1,54.0,Féminin,Avant gauche,Blessé léger,Conducteur
369,1,55.0,Féminin,Avant gauche,Indemne,Conducteur
370,1,70.0,Féminin,Avant droit,Blessé hospitalisé,Passager
371,1,68.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
372,1,76.0,Féminin,Unknown,Blessé hospitalisé,Piéton
373,1,2.0,Féminin,Arrière gauche,Indemne,Passager
374,1,26.0,Féminin,Arrière centre,Indemne,Passager
375,1,1.0,Féminin,Arrière droit,Indemne,Passager
376,1,60.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
377,1,21.0,Féminin,Avant droit,Blessé hospitalisé,Passager
378,1,53.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
379,1,86.0,Féminin,Avant gauche,Indemne,Conducteur
380,1,18.0,Masculin,Arrière centre,Indemne,Passager
381,1,14.0,Masculin,Arrière gauche,Indemne,Passager
382,1,43.0,Féminin,Avant droit,Blessé hospitalisé,Passager
383,1,27.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
384,1,19.0,Féminin,Avant droit,Blessé hospitalisé,Passager
385,1,21.0,Féminin,Arrière gauche,Blessé léger,Passager
386,1,25.0,Féminin,Avant gauche,Indemne,Conducteur
387,1,12.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
388,1,47.0,Féminin,Avant gauche,Indemne,Conducteur
389,1,25.0,Féminin,Avant gauche,Blessé léger,Conducteur
390,1,46.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
391,1,36.0,Masculin,Avant gauche,Tué,Conducteur
392,1,25.0,Féminin,Avant droit,Indemne,Passager
393,1,20.0,Masculin,Arrière droit,Blessé hospitalisé,Passager
394,1,67.0,Féminin,Avant droit,Indemne,Passager
395,1,30.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
396,1,49.0,Masculin,Avant droit,Indemne,Conducteur
397,1,44.0,Masculin,Avant gauche,Tué,Conducteur
398,1,78.0,Masculin,Unknown,Blessé hospitalisé,Piéton
399,1,37.0,Féminin,Avant gauche,Blessé léger,Conducteur
400,1,24.0,Féminin,Avant gauche,Indemne,Conducteur
401,1,47.0,Masculin,Avant gauche,Indemne,Conducteur
402,1,38.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
403,1,32.0,Masculin,Avant droit,Indemne,Passager
404,1,11.0,Masculin,Avant gauche,Blessé léger,Conducteur
405,1,26.0,Féminin,Avant gauche,Blessé léger,Conducteur
406,1,25.0,Masculin,Avant droit,Blessé hospitalisé,Passager
