id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
294,1,Référence inutilisée,"Même sens, même file",29.0,Unknown
295,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",20.0,Unknown
296,1,Tracteur routier seul,"Même sens, même file",0.0,Unknown
297,1,Référence inutilisée,Manœuvre d'évitement,1.0,Unknown
298,1,Tracteur routier + semi-remorque,Entre 2 files,0.0,Unknown
299,1,"PL seul 3,5T<PTAC<=7,5T",Déporté à droite,0.0,Unknown
300,1,Référence inutilisée,Sans changement de direction,21.0,Unknown
301,1,Tracteur routier + semi-remorque,"Dans le couloir bus, dans le même sens",0.0,Unknown
302,1,Référence inutilisée,Sans changement de direction,16.0,Unknown
303,1,Autre véhicule,Déporté à gauche,0.0,Unknown
304,1,Tracteur agricole,Traversant la chaussée,0.0,Unknown
305,1,"PL seul >7,5T",Déporté à gauche,0.0,Unknown
306,1,"PL >3,5T + remorque",En s'insérant,0.0,Unknown
307,1,Référence inutilisée,Traversant la chaussée,4.0,Unknown
308,1,Référence inutilisée,Sans changement de direction,18.0,Unknown
309,1,Référence inutilisée,Sans changement de direction,40.0,Unknown
310,1,Référence inutilisée,Sans changement de direction,8.0,Unknown
311,1,Référence inutilisée,Déporté à droite,14.0,Unknown
312,1,"PL >3,5T + remorque",En franchissant le terre-plein central,0.0,Unknown
313,1,"VU seul 1,5T<=PTAC<=3,5T",Dépassant à droite,0.0,Unknown
314,1,Autre véhicule,Déporté à droite,0.0,Unknown
315,1,Bicyclette,En faisant demi-tour,0.0,Unknown
316,1,Tracteur agricole,Tournant à droite,0.0,Unknown
317,1,Tracteur agricole,Manœuvre d'évitement,0.0,Unknown
318,1,Tracteur agricole,Changeant de file à gauche,0.0,Unknown
319,1,"PL seul 3,5T<PTAC<=7,5T",En faisant demi-tour,0.0,Unknown
320,1,Tracteur agricole,En faisant demi-tour,0.0,Unknown
321,1,Référence inutilisée,Unknown,15.0,Unknown
322,1,"PL seul 3,5T<PTAC<=7,5T",Tournant à droite,0.0,Unknown
323,1,Référence inutilisée,Déporté à gauche,30.0,Unknown
324,1,Tracteur routier seul,Unknown,0.0,Unknown
325,1,Référence inutilisée,Manœuvre d'évitement,45.0,Unknown
326,1,Référence inutilisée,Sans changement de direction,37.0,Unknown
327,1,Référence inutilisée,Manœuvre d'évitement,2.0,Unknown
328,1,Référence inutilisée,Manœuvre d'évitement,10.0,Unknown
329,1,Référence inutilisée,Déporté à gauche,8.0,Unknown
330,1,Référence inutilisée,Unknown,30.0,Unknown
331,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",12.0,Unknown
332,1,Engin spécial,Déporté à droite,0.0,Unknown
333,1,Référence inutilisée,"Même sens, même file",2.0,Unknown
334,1,Voiturette,Unknown,0.0,Unknown
335,1,Référence inutilisée,Unknown,60.0,Unknown
336,1,Autre véhicule,En marche arrière,0.0,Unknown
337,1,Engin spécial,Manœuvre de stationnement,0.0,Unknown
338,1,Bicyclette,Arrêté (hors stationnement),0.0,Unknown
339,1,Autre véhicule,"Dans le couloir bus, dans le même sens",0.0,Unknown
340,1,Bicyclette,"Dans le couloir bus, dans le sens inverse",0.0,Unknown
341,1,Référence inutilisée,Tournant à droite,23.0,Unknown
342,1,"PL seul 3,5T<PTAC<=7,5T",Manœuvre d'évitement,0.0,Unknown
343,1,Tracteur routier + semi-remorque,Manœuvre de stationnement,0.0,Unknown
344,1,Référence inutilisée,Tournant à gauche,37.0,Unknown
345,1,Référence inutilisée,Déporté à droite,1.0,Unknown
346,1,Autre véhicule,En s'insérant,0.0,Unknown
347,1,Référence inutilisée,Manœuvre de stationnement,62.0,Unknown
348,1,Référence inutilisée,"Dans le couloir bus, dans le sens inverse",1.0,Unknown
349,1,Voiturette,En s'insérant,0.0,Unknown
350,1,Engin spécial,Dépassant à gauche,0.0,Unknown
351,1,Engin spécial,Arrêté (hors stationnement),0.0,Unknown
352,1,Référence inutilisée,Tournant à droite,46.0,Unknown
353,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",50.0,Unknown
354,1,Référence inutilisée,Sans changement de direction,15.0,Unknown
355,1,Référence inutilisée,Traversant la chaussée,20.0,Unknown
356,1,Référence inutilisée,Traversant la chaussée,10.0,Unknown
357,1,Référence inutilisée,Sans changement de direction,28.0,Unknown
358,1,Autre véhicule,Changeant de file à droite,0.0,Unknown
359,1,"PL >3,5T + remorque",Entre 2 files,0.0,Unknown
360,1,Référence inutilisée,Traversant la chaussée,15.0,Unknown
361,1,Référence inutilisée,"Dans le couloir bus, dans le sens inverse",30.0,Unknown
362,1,Référence inutilisée,Unknown,44.0,Unknown
363,1,Référence inutilisée,En stationnement (avec occupants),3.0,Unknown
364,1,Référence inutilisée,Manœuvre de stationnement,20.0,Unknown
365,1,Référence inutilisée,Sans changement de direction,44.0,Unknown
366,1,Référence inutilisée,Sans changement de direction,5.0,Unknown
367,1,Tracteur agricole,Arrêté (hors stationnement),0.0,Unknown
368,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",5.0,Unknown
369,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",44.0,Unknown
370,1,"PL seul 3,5T<PTAC<=7,5T",A contresens,0.0,Unknown
371,1,Référence inutilisée,Unknown,7.0,Unknown
372,1,Référence inutilisée,Sans changement de direction,60.0,Unknown
373,1,Référence inutilisée,Sans changement de direction,46.0,Unknown
374,1,Référence inutilisée,Sans changement de direction,50.0,Unknown
375,1,Référence inutilisée,Arrêté (hors stationnement),57.0,Unknown
376,1,Référence inutilisée,Manœuvre d'évitement,42.0,Unknown
377,1,Référence inutilisée,Manœuvre de stationnement,8.0,Unknown
378,1,Voiturette,En faisant demi-tour,0.0,Unknown
379,1,Engin spécial,En marche arrière,0.0,Unknown
380,1,Bicyclette,En franchissant le terre-plein central,0.0,Unknown
381,1,Référence inutilisée,Tournant à droite,10.0,Unknown
382,1,Référence inutilisée,Manœuvre de stationnement,27.0,Unknown
383,1,"VU seul 1,5T<=PTAC<=3,5T",Entre 2 files,0.0,Unknown
384,1,Référence inutilisée,Sans changement de direction,3.0,Unknown
385,1,Référence inutilisée,Déporté à gauche,50.0,Unknown
386,1,Référence inutilisée,"Même sens, même file",4.0,Unknown
387,1,Référence inutilisée,Traversant la chaussée,28.0,Unknown
388,1,Référence inutilisée,Manœuvre de stationnement,9.0,Unknown
389,1,Référence inutilisée,Tournant à droite,27.0,Unknown
390,1,Voiturette,Changeant de file à gauche,0.0,Unknown
391,1,Référence inutilisée,"Même sens, même file",50.0,Unknown
392,1,Voiturette,Changeant de file à droite,0.0,Unknown
393,1,Référence inutilisée,Déporté à droite,16.0,Unknown
394,1,Tracteur routier seul,En s'insérant,0.0,Unknown
395,1,Tracteur routier seul,Traversant la chaussée,0.0,Unknown
396,1,Référence inutilisée,Sans changement de direction,17.0,Unknown
397,1,Autre véhicule,Dépassant à droite,0.0,Unknown
398,1,Référence inutilisée,Traversant la chaussée,5.0,Unknown
399,1,"PL >3,5T + remorque",Manœuvre de stationnement,0.0,Unknown
400,1,Bicyclette,En stationnement (avec occupants),0.0,Unknown
401,1,Voiturette,Manœuvre d'évitement,0.0,Unknown
402,1,Référence inutilisée,Sans changement de direction,58.0,Unknown
403,1,Référence inutilisée,Sans changement de direction,24.0,Unknown
404,1,Référence inutilisée,En marche arrière,17.0,Unknown
405,1,"PL seul >7,5T",Ouverture de porte,0.0,Unknown
406,1,Référence inutilisée,Unknown,8.0,Unknown
407,1,Référence inutilisée,Déporté à gauche,43.0,Unknown
408,1,Tracteur agricole,Déporté à gauche,0.0,Unknown
409,1,Tracteur routier seul,Déporté à gauche,0.0,Unknown
410,1,Référence inutilisée,Sans changement de direction,35.0,Unknown
411,1,"PL >3,5T + remorque",Dépassant à droite,0.0,Unknown
412,1,Référence inutilisée,Unknown,48.0,Unknown
413,1,"PL seul 3,5T<PTAC<=7,5T",Ouverture de porte,0.0,Unknown
