id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
233,826,Other vehicle,Going ahead,0,Petrol
234,826,Agricultural vehicle,Turning right,0,Heavy oil
235,826,Taxi/Private hire car,Turning right,0,Hybrid electric
236,826,Taxi/Private hire car,Unknown,0,Hybrid electric
237,826,Taxi/Private hire car,U-turn,0,Electric
238,826,Taxi/Private hire car,Unknown,0,Electric
239,826,Taxi/Private hire car,Going ahead,0,Electric
240,826,Taxi/Private hire car,Waiting to go ahead,0,Hybrid electric
241,826,Taxi/Private hire car,Moving off,0,Electric
242,826,Taxi/Private hire car,Going ahead,0,Petrol
243,826,Goods vehicle over 7.5t,Turning left,1,Heavy oil
244,826,Goods vehicle over 7.5t,Waiting to go ahead,0,Heavy oil
245,826,Van/Goods vehicle 3.5t and under,Going ahead,0,Unknown
246,826,Goods vehicle over 7.5t,Going ahead,1,Unknown
247,826,Other vehicle,Turning left,1,Unknown
248,826,Goods vehicle over 7.5t,Turning right,1,Heavy oil
249,826,Goods vehicle over 7.5t,Parked,0,Heavy oil
250,826,Goods vehicle over 7.5t,Waiting to go ahead,1,Heavy oil
251,826,Goods vehicle over 7.5t,Overtaking static vehicle on offside,0,Heavy oil
252,826,Goods vehicle over 7.5t,Reversing,0,Unknown
253,826,Goods vehicle over 7.5t,Moving off,4,Heavy oil
254,826,Goods vehicle over 3.5t and up to 7.5t,Going ahead,1,Heavy oil
255,826,Goods vehicle over 7.5t,Slowing or stopping,1,Heavy oil
256,826,Other vehicle,Going ahead,4,Unknown
257,826,Goods vehicle over 7.5t,Changing lane to left,0,Heavy oil
258,826,Goods vehicle over 7.5t,Changing lane to right,1,Heavy oil
259,826,Van/Goods vehicle 3.5t and under,Parked,0,Unknown
260,826,Goods vehicle over 7.5t,Parked,1,Heavy oil
261,826,Other vehicle,Waiting to go ahead,0,Heavy oil
262,826,Goods vehicle over 7.5t,Waiting to turn right,0,Heavy oil
