id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
411,826,20,Male,Not passenger,Slight,Passenger
412,826,68,Female,Not passenger,Fatal,Pedestrian
413,826,75,Male,Not passenger,Fatal,Driver or rider
414,826,72,Male,Not passenger,Slight,Driver or rider
415,826,54,Female,Not passenger,Slight,Driver or rider
416,826,44,Female,Not passenger,Slight,Passenger
417,826,12,Female,Rear seat,Serious,Passenger
418,826,72,Female,Front seat,Slight,Passenger
419,826,30,Male,Front seat,Slight,Passenger
420,826,46,Male,Front seat,Slight,Passenger
421,826,62,Male,Not passenger,Slight,Driver or rider
422,826,42,Female,Front seat,Slight,Passenger
423,826,11,Female,Not passenger,Slight,Driver or rider
424,826,89,Female,Not passenger,Serious,Pedestrian
425,826,76,Female,Not passenger,Slight,Pedestrian
426,826,33,Female,Not passenger,Slight,Driver or rider
427,826,48,Female,Front seat,Slight,Passenger
428,826,69,Male,Not passenger,Slight,Pedestrian
429,826,50,Male,Seated passenger,Serious,Passenger
430,826,20,Female,Not passenger,Serious,Driver or rider
431,826,34,Male,Not passenger,Slight,Pedestrian
432,826,24,Female,Not passenger,Slight,Pedestrian
433,826,31,Male,Front seat,Serious,Passenger
434,826,22,Female,Not passenger,Serious,Pedestrian
435,826,4,Female,Not passenger,Slight,Driver or rider
436,826,75,Female,Not passenger,Serious,Pedestrian
437,826,14,Female,Not passenger,Slight,Driver or rider
438,826,38,Female,Not passenger,Slight,Pedestrian
439,826,55,Male,Not passenger,Slight,Passenger
440,826,19,Female,Not passenger,Serious,Pedestrian
441,826,28,Female,Front seat,Slight,Passenger
442,826,,Male,Not passenger,Serious,Driver or rider
443,826,19,Male,Not passenger,Fatal,Driver or rider
444,826,60,Male,Front seat,Slight,Passenger
445,826,29,Female,Front seat,Slight,Passenger
446,826,46,Male,Not passenger,Slight,Driver or rider
447,826,18,Female,Not passenger,Serious,Driver or rider
448,826,23,Male,Not passenger,Serious,Passenger
449,826,20,Male,Not passenger,Fatal,Driver or rider
450,826,71,Male,Not passenger,Slight,Pedestrian
451,826,71,Male,Not passenger,Serious,Pedestrian
452,826,32,Male,Not passenger,Slight,Passenger
453,826,22,Male,Not passenger,Serious,Passenger
454,826,36,Female,Front seat,Serious,Passenger
455,826,12,Male,Rear seat,Slight,Passenger
456,826,29,Female,Not passenger,Slight,Pedestrian
457,826,70,Female,Front seat,Serious,Passenger
458,826,31,Male,Not passenger,Slight,Passenger
459,826,64,Female,Not passenger,Slight,Passenger
460,826,54,Female,Front seat,Serious,Passenger
461,826,8,Male,Not passenger,Slight,Passenger
462,826,71,Female,Not passenger,Slight,Driver or rider
463,826,8,Female,Rear seat,Slight,Passenger
464,826,49,Female,Not passenger,Slight,Driver or rider
465,826,20,Female,Not passenger,Slight,Pedestrian
466,826,26,Male,Not passenger,Fatal,Driver or rider
467,826,46,Male,Rear seat,Slight,Passenger
468,826,16,Male,Not passenger,Slight,Passenger
469,826,8,Male,Not passenger,Serious,Pedestrian
470,826,4,Male,Not passenger,Slight,Pedestrian
471,826,18,Female,Not passenger,Slight,Pedestrian
472,826,79,Female,Not passenger,Fatal,Pedestrian
473,826,9,Male,Not passenger,Slight,Driver or rider
474,826,44,Male,Not passenger,Slight,Pedestrian
475,826,1,Female,Rear seat,Slight,Passenger
476,826,70,Male,Not passenger,Slight,Driver or rider
